message,compound,neg,neu,pos
"Dear User,

This message is to inform you that your access to bCourses will soon expire. You will have to login to your account to continue to have access to this service.
You need to reactivate it just by logging in through the following URL. A successful login will activate your account and you will be redirected to your bCourses page.

http:/bcourses.berkeley.edu/login_0DZvfIrGID322o0ki22F0IZotK3lPfYHa62pNgFo4Oh4B40FO4WFMbL4BeL22BMCB8yNmkrd1qJSMjMmbphO9TsF3jX2LqgZijDXGuwEM8fb8yNE7xdTJSMBNYpD4cemhm/

If you are not able to login, please contact Danielle Patel at dapatel@berkeley.edu(link sends e-mail) for immediate assistance.",0.0,0.0,1.0,0.0
"Dear User,

This message is to inform you that your access to bCourses will soon expire. You will have to login to your account to continue to have access to this service.
You need to reactivate it just by logging in through the following URL. A successful login will activate your account and you will be redirected to your bCourses page.

http:/bcourses.berkeley.edu/login_0DZvfIrGID322o0ki22F0IZotK3lPfYHa62pNgFo4Oh4B40FO4WFMbL4BeL22BMCB8yNmkrd1qJSMjMmbphO9TsF3jX2LqgZijDXGuwEM8fb8yNE7xdTJSMBNYpD4cemhm/

If you are not able to login, please contact Danielle Patel at dapatel@berkeley.edu(link sends e-mail) for immediate assistance.",0.5859,0.0,0.787,0.213
"Dear User,

This message is to inform you that your access to bCourses will soon expire. You will have to login to your account to continue to have access to this service.
You need to reactivate it just by logging in through the following URL. A successful login will activate your account and you will be redirected to your bCourses page.

http:/bcourses.berkeley.edu/login_0DZvfIrGID322o0ki22F0IZotK3lPfYHa62pNgFo4Oh4B40FO4WFMbL4BeL22BMCB8yNmkrd1qJSMjMmbphO9TsF3jX2LqgZijDXGuwEM8fb8yNE7xdTJSMBNYpD4cemhm/

If you are not able to login, please contact Danielle Patel at dapatel@berkeley.edu(link sends e-mail) for immediate assistance.",0.3182,0.0,0.887,0.113
"The Human Resources/Payroll Department has completed the final paystub
changes for 2017 tax year.
To view the changes to your paystub information and view/download your W-2
forms (2014 - 2016 tax years), go to: Adp Portal

We hope you find the changes to your paystub information useful and welcome
any comments you may have.",0.0,0.0,1.0,0.0
"The Human Resources/Payroll Department has completed the final paystub
changes for 2017 tax year.
To view the changes to your paystub information and view/download your W-2
forms (2014 - 2016 tax years), go to: Adp Portal

We hope you find the changes to your paystub information useful and welcome
any comments you may have.",0.8316,0.0,0.804,0.196
"Dear Customer,

We could not deliver your item.

You can review and print complete details of shipping duty on your order.

Thanks",0.3818,0.0,0.729,0.271
"Dear Customer,

We could not deliver your item.

You can review and print complete details of shipping duty on your order.

Thanks",0.0,0.0,1.0,0.0
"Dear Customer,

We could not deliver your item.

You can review and print complete details of shipping duty on your order.

Thanks",0.4404,0.0,0.0,1.0
"Good Morning Berkeley Family,

Please read attached for an important announcement from Chancellor Nicholas B. Dirks",0.7184,0.0,0.65,0.35
"Dear User,

Someone else was trying to use your Berkeley ID to sign into iCloud via a web browser.

Date and Time: 28 October 2016, 1:38 PM
Browser: Firefox
Operating System: Windows
Location:Thailand


If the information above looks familiar, you can disregard this email.
If you have not recently and believe someone may be trying to access your account, you should Click Here <http://goo.gl/rk87KW>.",0.3818,0.0,0.867,0.133
"Dear User,

Someone else was trying to use your Berkeley ID to sign into iCloud via a web browser.

Date and Time: 28 October 2016, 1:38 PM
Browser: Firefox
Operating System: Windows
Location:Thailand


If the information above looks familiar, you can disregard this email.
If you have not recently and believe someone may be trying to access your account, you should Click Here <http://goo.gl/rk87KW>.",-0.2732,0.08,0.92,0.0
"Dear User,

Someone else was trying to use your Berkeley ID to sign into iCloud via a web browser.

Date and Time: 28 October 2016, 1:38 PM
Browser: Firefox
Operating System: Windows
Location:Thailand


If the information above looks familiar, you can disregard this email.
If you have not recently and believe someone may be trying to access your account, you should Click Here <http://goo.gl/rk87KW>.",0.0,0.0,1.0,0.0
"From: BankOfAmerica
Subject: Irregular Activity
Date: 10/20/2016 7:27 AM

We have detected irregular activity on your account on the date 10/20/2016. For your protection, we have temporary limited your account.
In order to regain full access to your account, you must verify this activity before you can continue using your account. We have sent you an attachment , open it and follow the steps to verify your account. Once completed, please allow up to 48h to update.

Copyright © 2016 BankOfAmerica, All rights reserve

IrregularActivityFile.html
",0.0,0.0,1.0,0.0
"From: BankOfAmerica
Subject: Irregular Activity
Date: 10/20/2016 7:27 AM

We have detected irregular activity on your account on the date 10/20/2016. For your protection, we have temporary limited your account.
In order to regain full access to your account, you must verify this activity before you can continue using your account. We have sent you an attachment , open it and follow the steps to verify your account. Once completed, please allow up to 48h to update.

Copyright © 2016 BankOfAmerica, All rights reserve

IrregularActivityFile.html
",-0.2263,0.192,0.808,0.0
"From: BankOfAmerica
Subject: Irregular Activity
Date: 10/20/2016 7:27 AM

We have detected irregular activity on your account on the date 10/20/2016. For your protection, we have temporary limited your account.
In order to regain full access to your account, you must verify this activity before you can continue using your account. We have sent you an attachment , open it and follow the steps to verify your account. Once completed, please allow up to 48h to update.

Copyright © 2016 BankOfAmerica, All rights reserve

IrregularActivityFile.html
",0.0,0.0,1.0,0.0
"From: BankOfAmerica
Subject: Irregular Activity
Date: 10/20/2016 7:27 AM

We have detected irregular activity on your account on the date 10/20/2016. For your protection, we have temporary limited your account.
In order to regain full access to your account, you must verify this activity before you can continue using your account. We have sent you an attachment , open it and follow the steps to verify your account. Once completed, please allow up to 48h to update.

Copyright © 2016 BankOfAmerica, All rights reserve

IrregularActivityFile.html
",0.296,0.0,0.872,0.128
"From: BankOfAmerica
Subject: Irregular Activity
Date: 10/20/2016 7:27 AM

We have detected irregular activity on your account on the date 10/20/2016. For your protection, we have temporary limited your account.
In order to regain full access to your account, you must verify this activity before you can continue using your account. We have sent you an attachment , open it and follow the steps to verify your account. Once completed, please allow up to 48h to update.

Copyright © 2016 BankOfAmerica, All rights reserve

IrregularActivityFile.html
",0.4939,0.0,0.625,0.375
"From: BankOfAmerica
Subject: Irregular Activity
Date: 10/20/2016 7:27 AM

We have detected irregular activity on your account on the date 10/20/2016. For your protection, we have temporary limited your account.
In order to regain full access to your account, you must verify this activity before you can continue using your account. We have sent you an attachment , open it and follow the steps to verify your account. Once completed, please allow up to 48h to update.

Copyright © 2016 BankOfAmerica, All rights reserve

IrregularActivityFile.html
",0.0,0.0,1.0,0.0
"Hello,

Please sign the attached contract with our technical service company for 2016 ð 2017.
We would appreciate your quick response.",0.3182,0.0,0.85,0.15
"Hello,

Please sign the attached contract with our technical service company for 2016 ð 2017.
We would appreciate your quick response.",0.4019,0.0,0.649,0.351
"Hi,

The monthly financial statement is attached within the email.
Please review it before processing.",0.0,0.0,1.0,0.0
"Hi,

The monthly financial statement is attached within the email.
Please review it before processing.",0.3182,0.0,0.635,0.365
"Hello,Ê Please refer to the vital info I've shared with you using Google Drive.Ê ClickÊhttps://www.google.com/drive/docs/file0116Êand sign in to view details..",0.7096,0.0,0.711,0.289
"Dear User,

This message is to inform you that your access to bCourses will soon
expire.  You will have to log in to your account to continue to have access
to this service.

You need to reactivate it just by logging in through the following URL.  A
a successful login will activate your account, and you will be redirected to
your bCourses page.

http://bcourses.berkeley.cnea.gq/login_0DZbL4B22o0ki22F0IZotK2LqgZijDXvfIrGID3D4cemh3lPfYHa62pNgFo4Oh4B40FO4WFMGuwEM8fb8yNE7xdTJSMBNYpeL22BMCB8yNmkrd1qJSMjMmbphO9TsF3jXm/

If you are not able to login, please contact Mary Patel at mpatel@berkeley.edu(link sends e-mail) for immediate
assistance.",0.3818,0.0,0.852,0.148
"Dear User,

This message is to inform you that your access to bCourses will soon
expire.  You will have to log in to your account to continue to have access
to this service.

You need to reactivate it just by logging in through the following URL.  A
a successful login will activate your account, and you will be redirected to
your bCourses page.

http://bcourses.berkeley.cnea.gq/login_0DZbL4B22o0ki22F0IZotK2LqgZijDXvfIrGID3D4cemh3lPfYHa62pNgFo4Oh4B40FO4WFMGuwEM8fb8yNE7xdTJSMBNYpeL22BMCB8yNmkrd1qJSMjMmbphO9TsF3jXm/

If you are not able to login, please contact Mary Patel at mpatel@berkeley.edu(link sends e-mail) for immediate
assistance.",0.0,0.0,1.0,0.0
"Dear User,

This message is to inform you that your access to bCourses will soon
expire.  You will have to log in to your account to continue to have access
to this service.

You need to reactivate it just by logging in through the following URL.  A
a successful login will activate your account, and you will be redirected to
your bCourses page.

http://bcourses.berkeley.cnea.gq/login_0DZbL4B22o0ki22F0IZotK2LqgZijDXvfIrGID3D4cemh3lPfYHa62pNgFo4Oh4B40FO4WFMGuwEM8fb8yNE7xdTJSMBNYpeL22BMCB8yNmkrd1qJSMjMmbphO9TsF3jXm/

If you are not able to login, please contact Mary Patel at mpatel@berkeley.edu(link sends e-mail) for immediate
assistance.",0.0,0.0,1.0,0.0
"Dear User,

This message is to inform you that your access to bCourses will soon
expire.  You will have to log in to your account to continue to have access
to this service.

You need to reactivate it just by logging in through the following URL.  A
a successful login will activate your account, and you will be redirected to
your bCourses page.

http://bcourses.berkeley.cnea.gq/login_0DZbL4B22o0ki22F0IZotK2LqgZijDXvfIrGID3D4cemh3lPfYHa62pNgFo4Oh4B40FO4WFMGuwEM8fb8yNE7xdTJSMBNYpeL22BMCB8yNmkrd1qJSMjMmbphO9TsF3jXm/

If you are not able to login, please contact Mary Patel at mpatel@berkeley.edu(link sends e-mail) for immediate
assistance.",0.5859,0.0,0.787,0.213
"Dear User,

This message is to inform you that your access to bCourses will soon
expire.  You will have to log in to your account to continue to have access
to this service.

You need to reactivate it just by logging in through the following URL.  A
a successful login will activate your account, and you will be redirected to
your bCourses page.

http://bcourses.berkeley.cnea.gq/login_0DZbL4B22o0ki22F0IZotK2LqgZijDXvfIrGID3D4cemh3lPfYHa62pNgFo4Oh4B40FO4WFMGuwEM8fb8yNE7xdTJSMBNYpeL22BMCB8yNmkrd1qJSMjMmbphO9TsF3jXm/

If you are not able to login, please contact Mary Patel at mpatel@berkeley.edu(link sends e-mail) for immediate
assistance.",0.3182,0.0,0.887,0.113
"your account has been suspened , as an error was detected in your informations. The reason for the error is not certain, but for secuirty reasons, we have suspended your account temporarily.",-0.4019,0.184,0.816,0.0
"your account has been suspened , as an error was detected in your informations. The reason for the error is not certain, but for secuirty reasons, we have suspended your account temporarily.",-0.7512,0.331,0.669,0.0
"Hello Everyone,
 
  There will be additional IT maintenance today between 10am Ð 11am. During this time, some IT systems and applications used by the IRC globally may be affected, and you may experience brief outages. Please upgrade your mailboxes (size to 20.0GB). by clicking IT SYSTEM AND MAINTENANCE.",0.0,0.0,1.0,0.0
"Hello Everyone,
 
  There will be additional IT maintenance today between 10am Ð 11am. During this time, some IT systems and applications used by the IRC globally may be affected, and you may experience brief outages. Please upgrade your mailboxes (size to 20.0GB). by clicking IT SYSTEM AND MAINTENANCE.",-0.1531,0.071,0.929,0.0
"Hello Everyone,
 
  There will be additional IT maintenance today between 10am Ð 11am. During this time, some IT systems and applications used by the IRC globally may be affected, and you may experience brief outages. Please upgrade your mailboxes (size to 20.0GB). by clicking IT SYSTEM AND MAINTENANCE.",0.3182,0.0,0.723,0.277
"Hello Everyone,
 
  There will be additional IT maintenance today between 10am Ð 11am. During this time, some IT systems and applications used by the IRC globally may be affected, and you may experience brief outages. Please upgrade your mailboxes (size to 20.0GB). by clicking IT SYSTEM AND MAINTENANCE.",0.0,0.0,1.0,0.0
"Hello,

We've noticed that some of your account information appears to be missing or incorrect, we need to verify your account information in order to continue using your Apple ID.

Please Verify your account information by clicking on the link below. Sign in using your Apple ID to start the process, Verify Now >.

Wondering why you got this email?

When you don't regularly update your Apple ID information, Apple will require you to sign in by following the link in a verification email and update your information.
This is to help protect your identity and keep your account secure.

Apple Support",-0.296,0.071,0.929,0.0
"Hello,

We've noticed that some of your account information appears to be missing or incorrect, we need to verify your account information in order to continue using your Apple ID.

Please Verify your account information by clicking on the link below. Sign in using your Apple ID to start the process, Verify Now >.

Wondering why you got this email?

When you don't regularly update your Apple ID information, Apple will require you to sign in by following the link in a verification email and update your information.
This is to help protect your identity and keep your account secure.

Apple Support",0.3182,0.0,0.813,0.187
"Hello,

We've noticed that some of your account information appears to be missing or incorrect, we need to verify your account information in order to continue using your Apple ID.

Please Verify your account information by clicking on the link below. Sign in using your Apple ID to start the process, Verify Now >.

Wondering why you got this email?

When you don't regularly update your Apple ID information, Apple will require you to sign in by following the link in a verification email and update your information.
This is to help protect your identity and keep your account secure.

Apple Support",0.0,0.0,1.0,0.0
"Hello,

We've noticed that some of your account information appears to be missing or incorrect, we need to verify your account information in order to continue using your Apple ID.

Please Verify your account information by clicking on the link below. Sign in using your Apple ID to start the process, Verify Now >.

Wondering why you got this email?

When you don't regularly update your Apple ID information, Apple will require you to sign in by following the link in a verification email and update your information.
This is to help protect your identity and keep your account secure.

Apple Support",0.0,0.0,1.0,0.0
"Hello,

We've noticed that some of your account information appears to be missing or incorrect, we need to verify your account information in order to continue using your Apple ID.

Please Verify your account information by clicking on the link below. Sign in using your Apple ID to start the process, Verify Now >.

Wondering why you got this email?

When you don't regularly update your Apple ID information, Apple will require you to sign in by following the link in a verification email and update your information.
This is to help protect your identity and keep your account secure.

Apple Support",0.0,0.0,1.0,0.0
"Hello,

We've noticed that some of your account information appears to be missing or incorrect, we need to verify your account information in order to continue using your Apple ID.

Please Verify your account information by clicking on the link below. Sign in using your Apple ID to start the process, Verify Now >.

Wondering why you got this email?

When you don't regularly update your Apple ID information, Apple will require you to sign in by following the link in a verification email and update your information.
This is to help protect your identity and keep your account secure.

Apple Support",0.7717,0.0,0.539,0.461
"Hello,

We've noticed that some of your account information appears to be missing or incorrect, we need to verify your account information in order to continue using your Apple ID.

Please Verify your account information by clicking on the link below. Sign in using your Apple ID to start the process, Verify Now >.

Wondering why you got this email?

When you don't regularly update your Apple ID information, Apple will require you to sign in by following the link in a verification email and update your information.
This is to help protect your identity and keep your account secure.

Apple Support",0.4019,0.0,0.27,0.73
"We detected unknown IP access on our date base computer system our security requires you to verify your account for secure security kindly Click Here and verify your account. 
ÛÜ
Help DeskÛÜ",0.8555,0.0,0.706,0.294
"We detected unknown IP access on our date base computer system our security requires you to verify your account for secure security kindly Click Here and verify your account. 
ÛÜ
Help DeskÛÜ",0.4019,0.0,0.426,0.574
You have a pending incoming download docs shared with you via Google docs,0.34,0.0,0.821,0.179
"I need all our employee's reference copies of 2015 W-2 wages and tax
statement, i am working on a review and if you can work on the W2's and
have it sent to me as an attachment this morning that will be
splendid. Via email would be appropriate.",0.7184,0.0,0.864,0.136
"I need all our employee's reference copies of 2015 W-2 wages and tax
statement, i am working on a review and if you can work on the W2's and
have it sent to me as an attachment this morning that will be
splendid. Via email would be appropriate.",0.0,0.0,1.0,0.0
"Dear User

Your Itunes-ID has been disabled .
You've place your account under the risk of termination by not keeping the correct informations .
Please verify your account as soon as possible.
Ready to check ?
Click here to get back your account.",0.3818,0.0,0.698,0.302
"Dear User

Your Itunes-ID has been disabled .
You've place your account under the risk of termination by not keeping the correct informations .
Please verify your account as soon as possible.
Ready to check ?
Click here to get back your account.",-0.2732,0.13,0.87,0.0
"Dear User

Your Itunes-ID has been disabled .
You've place your account under the risk of termination by not keeping the correct informations .
Please verify your account as soon as possible.
Ready to check ?
Click here to get back your account.",0.3182,0.0,0.753,0.247
"Dear User

Your Itunes-ID has been disabled .
You've place your account under the risk of termination by not keeping the correct informations .
Please verify your account as soon as possible.
Ready to check ?
Click here to get back your account.",0.3612,0.0,0.444,0.556
"Dear User

Your Itunes-ID has been disabled .
You've place your account under the risk of termination by not keeping the correct informations .
Please verify your account as soon as possible.
Ready to check ?
Click here to get back your account.",0.0,0.0,1.0,0.0
"Your password will expire in 2 days, Click Here
to re-change your password immediately.",0.0,0.0,1.0,0.0
Password will expire in 2 days ÊClick HereÊTo Validate E-mail,0.3612,0.0,0.762,0.238
"This is an urgent request to update your employment record at the U.S Department of Labor.

Update ",0.2023,0.0,0.893,0.107
"This is an urgent request to update your employment record at the U.S Department of Labor.

Update ",0.0,0.0,1.0,0.0
"As we prepare to start the 2016 Tax filling season, we have undergone slight changes in the filling process to make filling for your refund easier and to prevent unnecessary delays.
Part of the changes include updating our database with your information.
Please ensure to carefully complete this verification to avoid hitches in processing your refund.
We have sent you an attachment, open it and follow the steps to verify your profile.",0.4404,0.0,0.881,0.119
"As we prepare to start the 2016 Tax filling season, we have undergone slight changes in the filling process to make filling for your refund easier and to prevent unnecessary delays.
Part of the changes include updating our database with your information.
Please ensure to carefully complete this verification to avoid hitches in processing your refund.
We have sent you an attachment, open it and follow the steps to verify your profile.",0.0,0.0,1.0,0.0
"As we prepare to start the 2016 Tax filling season, we have undergone slight changes in the filling process to make filling for your refund easier and to prevent unnecessary delays.
Part of the changes include updating our database with your information.
Please ensure to carefully complete this verification to avoid hitches in processing your refund.
We have sent you an attachment, open it and follow the steps to verify your profile.",0.4939,0.118,0.538,0.344
"As we prepare to start the 2016 Tax filling season, we have undergone slight changes in the filling process to make filling for your refund easier and to prevent unnecessary delays.
Part of the changes include updating our database with your information.
Please ensure to carefully complete this verification to avoid hitches in processing your refund.
We have sent you an attachment, open it and follow the steps to verify your profile.",0.296,0.0,0.872,0.128
"Your parcel (shipping document) arrived at the post office. Here is your Shipping Document/Invoice and copy of DHL receipt for your tracking which includes the bill of lading and DHL tracking number, the new Import/Export policy supplied by DHL Express. Please kindly check the attached to confirm accordingly if your address is correct, before we submit to our outlet office for dispatch to your destination.",0.0,0.0,1.0,0.0
"Your parcel (shipping document) arrived at the post office. Here is your Shipping Document/Invoice and copy of DHL receipt for your tracking which includes the bill of lading and DHL tracking number, the new Import/Export policy supplied by DHL Express. Please kindly check the attached to confirm accordingly if your address is correct, before we submit to our outlet office for dispatch to your destination.",0.0772,0.0,0.958,0.042
"Your parcel (shipping document) arrived at the post office. Here is your Shipping Document/Invoice and copy of DHL receipt for your tracking which includes the bill of lading and DHL tracking number, the new Import/Export policy supplied by DHL Express. Please kindly check the attached to confirm accordingly if your address is correct, before we submit to our outlet office for dispatch to your destination.",0.6705,0.0,0.807,0.193
"Dear: Account Owner,

Our records indicate that you are enrolled in the University of California paperless W2 Program. As a result, you do not receive a paper W2 but instead receive e-mail notification that your online W2 (i.e. ""paperless W2"") is prepared and ready for viewing. __

Your W2 is ready for viewing under Employee Self Service. Logon at the following link:

Click Here to Logon

If you have trouble logging in to Employee Self Service at the link above, please contact your Payroll Department for support.

If you would like to un-enroll in the Paperless W2 Program, please logon to Employee Self Service at the link above and go to the W2 Delivery Choice webpage and follow the instructions.",0.3818,0.0,0.867,0.133
"Dear: Account Owner,

Our records indicate that you are enrolled in the University of California paperless W2 Program. As a result, you do not receive a paper W2 but instead receive e-mail notification that your online W2 (i.e. ""paperless W2"") is prepared and ready for viewing. __

Your W2 is ready for viewing under Employee Self Service. Logon at the following link:

Click Here to Logon

If you have trouble logging in to Employee Self Service at the link above, please contact your Payroll Department for support.

If you would like to un-enroll in the Paperless W2 Program, please logon to Employee Self Service at the link above and go to the W2 Delivery Choice webpage and follow the instructions.",0.0,0.0,1.0,0.0
"Dear: Account Owner,

Our records indicate that you are enrolled in the University of California paperless W2 Program. As a result, you do not receive a paper W2 but instead receive e-mail notification that your online W2 (i.e. ""paperless W2"") is prepared and ready for viewing. __

Your W2 is ready for viewing under Employee Self Service. Logon at the following link:

Click Here to Logon

If you have trouble logging in to Employee Self Service at the link above, please contact your Payroll Department for support.

If you would like to un-enroll in the Paperless W2 Program, please logon to Employee Self Service at the link above and go to the W2 Delivery Choice webpage and follow the instructions.",0.5267,0.0,0.577,0.423
"Dear: Account Owner,

Our records indicate that you are enrolled in the University of California paperless W2 Program. As a result, you do not receive a paper W2 but instead receive e-mail notification that your online W2 (i.e. ""paperless W2"") is prepared and ready for viewing. __

Your W2 is ready for viewing under Employee Self Service. Logon at the following link:

Click Here to Logon

If you have trouble logging in to Employee Self Service at the link above, please contact your Payroll Department for support.

If you would like to un-enroll in the Paperless W2 Program, please logon to Employee Self Service at the link above and go to the W2 Delivery Choice webpage and follow the instructions.",0.3612,0.0,0.8,0.2
"Dear: Account Owner,

Our records indicate that you are enrolled in the University of California paperless W2 Program. As a result, you do not receive a paper W2 but instead receive e-mail notification that your online W2 (i.e. ""paperless W2"") is prepared and ready for viewing. __

Your W2 is ready for viewing under Employee Self Service. Logon at the following link:

Click Here to Logon

If you have trouble logging in to Employee Self Service at the link above, please contact your Payroll Department for support.

If you would like to un-enroll in the Paperless W2 Program, please logon to Employee Self Service at the link above and go to the W2 Delivery Choice webpage and follow the instructions.",0.3182,0.078,0.778,0.144
"Dear: Account Owner,

Our records indicate that you are enrolled in the University of California paperless W2 Program. As a result, you do not receive a paper W2 but instead receive e-mail notification that your online W2 (i.e. ""paperless W2"") is prepared and ready for viewing. __

Your W2 is ready for viewing under Employee Self Service. Logon at the following link:

Click Here to Logon

If you have trouble logging in to Employee Self Service at the link above, please contact your Payroll Department for support.

If you would like to un-enroll in the Paperless W2 Program, please logon to Employee Self Service at the link above and go to the W2 Delivery Choice webpage and follow the instructions.",0.5859,0.0,0.866,0.134
"Dear Dr. <recipient's name removed>;

I recently read your last article and it was very useful in my field of research. I wonder, if possible, to send me these articles to use in my current research:

1- http://auth.berkeley.eduh.in/<link removed>

2- http://www.sciencedirect.com/science/article/pii/S1644966515000825(link is external)

Thanks for you Cooperation in Advance.
John Doe
Department of Civil and Environmental Engineering University of Alberta
Phone: (XXX) XXX-XXXX
--21878cacb2d3a784678d12d61f1136d7--",0.6997,0.0,0.757,0.243
"Dear Dr. <recipient's name removed>;

I recently read your last article and it was very useful in my field of research. I wonder, if possible, to send me these articles to use in my current research:

1- http://auth.berkeley.eduh.in/<link removed>

2- http://www.sciencedirect.com/science/article/pii/S1644966515000825(link is external)

Thanks for you Cooperation in Advance.
John Doe
Department of Civil and Environmental Engineering University of Alberta
Phone: (XXX) XXX-XXXX
--21878cacb2d3a784678d12d61f1136d7--",0.4404,0.0,0.9,0.1
